19:32;name;Michael
19:32;name;Katarina
19:32;surname;Sergeeva
19:32;phone_number;79471200199
19:32;phone_number;79446400063
19:32;status;mobile

19:44;name;Polina
19:44;name;Polina
19:44;surname;Kuvshinova
19:44;phone_number;79606005845
19:44;phone_number;79479733666
19:44;status;mobile

19:45;name;Petr
19:45;name;Stepan
19:45;surname;Konstantinov
19:45;phone_number;84976032943
19:45;phone_number;84972616372
19:45;status;work

19:47;name;Lubov
19:47;name;Vera
19:47;surname;Tomashevich
19:47;phone_number;79898667344
19:47;phone_number;84971130281
19:47;status;work

19:48;name;Sergey
19:48;name;Vera
19:48;surname;Sergeeva
19:48;phone_number;79846512525
19:48;phone_number;84999243465
19:48;status;work

19:50;name;Lubov
19:50;name;Luisa
19:50;surname;Sundukova
19:50;phone_number;79325332298
19:50;phone_number;79776935833
19:50;status;mobile

19:51;name;Vera
19:51;name;Alexandr
19:51;surname;Konstantinov
19:51;phone_number;84963496120
19:51;phone_number;84995559883
19:51;status;work

19:52;name;Petr
19:52;surname;Konstantinova
19:52;phone_number;84978882786
19:52;phone_number;79720861951
19:52;status;mobile

19:57;name;Maria
19:57;surname;Sundukova
19:57;phone_number;84986493254
19:57;phone_number;84993512051
19:57;status;work

19:57;name;Maria
19:57;surname;Makarova
19:57;phone_number;84992996542
19:57;phone_number;84957359508
19:57;status;work

19:58;name;Luisa
19:58;surname;Danilov
19:58;phone_number;79353356251
19:58;phone_number;79709686782
19:58;status;mobile

12:35;name;Nickolay
12:35;surname;Kuvshinov
12:35;phone_number;79513080230
12:35;phone_number;79723117671
12:35;status;mobile

12:40;name;Michael
12:40;surname;Danilov
